City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,hambantota,6.1241,81.1185,27.189999999999998,100,75,5.14,LK,1685752797
154,bubaque,11.2833,-15.8333,26.920000000000016,78,100,6.42,GW,1685752798
155,tsihombe,11.2833,-15.8333,26.920000000000016,78,100,6.42,GW,1685752798
156,hoquiam,46.9809,-123.8893,19.910000000000025,65,0,6.17,US,1685752801
157,amarante do maranhao,-5.5667,-46.7422,25.939999999999998,68,95,0.3,BR,1685752802
158,kryvyy rih,47.9167,33.35,15.050000000000011,55,4,2.77,UA,1685752803
159,airai,-8.9266,125.4092,20.620000000000005,72,98,1.07,TL,1685752804
160,doka,13.5167,35.7667,25.58000000000004,65,88,2.23,SD,1685752805
161,mokhsogollokh,61.4681,128.9203,19.79000000000002,30,78,3.81,RU,1685752806
162,morristown,36.214,-83.2949,26.610000000000014,58,18,1.37,US,1685752807
163,kimbe,-5.5502,150.1429,26.410000000000025,88,100,1.18,PG,1685752808
164,margate,51.3813,1.3862,11.600000000000023,87,8,4.47,GB,1685752809
165,wattegama,6.7989,81.4808,25.210000000000036,83,98,2.52,LK,1685752810
166,surgut,61.25,73.4167,19.100000000000023,59,20,1.79,RU,1685752811
167,ippy,6.2679,21.2247,19.920000000000016,91,100,1.35,CF,1685752812
168,barcelos,41.5388,-8.6151,18.80000000000001,92,59,0.75,PT,1685752813
169,vaitupu,41.5388,-8.6151,18.80000000000001,92,59,0.75,PT,1685752813
170,temyasovo,52.9933,58.1014,15.680000000000007,80,99,2.96,RU,1685752815
171,ngukurr,52.9933,58.1014,15.680000000000007,80,99,2.96,RU,1685752815
172,kodiak,57.79,-152.4072,10.730000000000018,76,0,4.63,US,1685752817
173,mirpur mathelo,28.0227,69.5489,31.140000000000043,43,0,5.42,PK,1685752818
174,balc,47.2833,22.5333,11.460000000000036,96,1,1.26,RO,1685752819
175,bluff,-46.6,168.3333,9.670000000000016,76,100,7.84,NZ,1685752820
176,sorong,-0.8833,131.25,28.310000000000002,80,98,3.25,ID,1685752821
177,sola,-13.8833,167.55,27.010000000000048,79,98,7.65,VU,1685752822
178,chara,56.9064,118.2631,16.350000000000023,40,16,0.96,RU,1685752823
179,chuy,-33.6971,-53.4616,16.230000000000018,90,72,3.36,UY,1685752824
180,port elizabeth,-33.918,25.5701,16.29000000000002,61,0,2.06,ZA,1685752825
181,provideniya,64.3833,-173.3,1.150000000000034,89,100,3.38,RU,1685752826
182,coihaique,-45.5752,-72.0662,3.0300000000000296,100,100,1.42,CL,1685752827
183,ahipara,-35.1667,173.1667,15.460000000000036,63,34,5.6,NZ,1685752828
184,samalaeulu,-35.1667,173.1667,15.460000000000036,63,34,5.6,NZ,1685752828
185,nizhneyansk,-35.1667,173.1667,15.460000000000036,63,34,5.6,NZ,1685752828
186,rolla,37.9514,-91.7713,23.04000000000002,78,0,2.06,US,1685752741
187,ponta do sol,32.6667,-17.1,20.400000000000034,77,48,1.55,PT,1685752832
188,little current,45.9793,-81.9248,17.689999999999998,80,87,3.11,CA,1685752833
189,fairbanks,64.8378,-147.7164,8.110000000000014,74,100,7.2,US,1685752834
190,cidreira,-30.1811,-50.2056,19.420000000000016,82,0,6.76,BR,1685752835
191,dzhida,50.6772,106.1806,15.850000000000023,48,78,2.88,RU,1685752836
192,rawson,-43.3002,-65.1023,12.410000000000025,35,7,6.48,AR,1685752837
193,nanortalik,60.1432,-45.2371,2.390000000000043,98,100,1.69,GL,1685752838
194,cabedelo,-6.9811,-34.8339,25.370000000000005,75,46,4.61,BR,1685752838
195,bengkulu,-3.8004,102.2655,26.660000000000025,77,98,1.62,ID,1685752839
196,katsuura,35.1333,140.3,19.010000000000048,96,100,9.17,JP,1685752840
197,carauari,-4.8828,-66.8958,22.930000000000007,98,78,0.74,BR,1685752841
198,riyadh,24.6877,46.7219,28.08000000000004,15,0,3.99,SA,1685752800
199,jauja,-11.7758,-75.4966,6.350000000000023,54,14,1.25,PE,1685752843
200,mbanza-ngungu,-5.25,14.8667,18.75,99,96,1.69,CD,1685752844
201,xining,36.6167,101.7667,11.28000000000003,76,100,0.18,CN,1685752845
202,lagoa,39.05,-27.9833,17.900000000000034,90,100,6.29,PT,1685752846
203,saint-michel-des-saints,46.6834,-73.9159,19.960000000000036,75,7,5.09,CA,1685752847
204,ayan,56.45,138.1667,4.680000000000007,92,100,1.37,RU,1685752848
205,yola,9.2,12.4833,30.900000000000034,66,20,2.06,NG,1685752849
206,saint-pierre,-21.3393,55.4781,19.82000000000005,56,0,3.09,RE,1685752850
